ID,ID_ORIGINAL,Gender,Foreign_Citizenship,Age,Frequent_Traveler,Cellphone_Usage,Household_Size,Spy,Satisfaction_Level,Occupation,Political_Participation,Social_Person,Area_Residence,Military_Service,Household_Income
1023,460264,Female,Yes,35,Yes,Low,4,0,1,Private company,Strong involvement,Yes,City,Intervention in Syria,7000
1024,463434,Female,Yes,25,No,Average,2,0,2,Private company,No involvement,No,City,Never,7000
1025,460414,Female,No,33,Yes,Low,1,0,4,Private company,Some involvement,No,City,Never,7000
1026,465377,Male,Yes,26,Yes,Average,,0,,Private company,Unknown,No,City,Never,13305
1027,464201,Female,No,30,No,Low,9,1,1,Private company,Some involvement,No,City,Never,7000
1028,463548,Female,No,18,No,Low,4,0,1,Private company,Some involvement,Yes,Country-side,Never,10783
1029,466305,Male,No,31,No,Low,3,1,2,Private company,Some involvement,Yes,City,Never,8261
1030,463245,Male,Yes,37,Yes,Average,2,0,2,Private company,Strong involvement,No,City,Never,18349
1031,459117,Male,Yes,66,Yes,High,2,1,4,Private company,Unknown,No,City,Never,8261
1032,466168,Female,Yes,45,Yes,High,3,1,2,Public company,No involvement,Yes,City,Never,8261
1033,466158,Female,Yes,47,Yes,Low,4,1,2,Private company,No involvement,No,City,Never,7000
1034,462683,Female,Yes,38,No,Low,5,1,1,Private company,No involvement,Yes,City,Intervention in Syria,8261
1035,464425,Male,No,40,Yes,Low,1,1,4,Private company,Unknown,No,City,Never,17088
1036,459108,Male,No,23,No,Low,5,0,1,Private company,Some involvement,No,City,Never,7000
1037,459336,Male,Yes,26,Yes,Average,2,0,2,Private company,Unknown,No,City,Never,14566
1038,465151,Male,Yes,59,Yes,Low,1,1,6,Private company,Unknown,No,City,Never,7000
1039,462732,Female,Yes,41,Yes,Low,1,1,5,Private company,Unknown,No,City,Never,7000
1040,467692,Female,Yes,43,No,Low,1,1,5,Private company,Unknown,No,City,Never,12044
1041,466890,Male,Yes,47,Yes,Average,6,1,1,Private company,Unknown,Yes,City,Intervention in Iraq,7000
1042,460197,Male,No,38,Yes,Low,3,0,2,Private company,Unknown,Yes,City,Never,17088
1043,461764,Female,No,41,Yes,Low,1,0,5,Private company,Unknown,No,City,Never,7000
1044,464971,Female,Yes,36,No,Low,5,0,1,Private company,No involvement,Yes,Country-side,Never,8261
1045,465286,Male,No,36,Yes,Low,1,1,4,Private company,Unknown,No,City,Never,17088
1046,459701,Male,No,47,No,Low,3,1,2,Private company,Unknown,Yes,City,Intervention in Libya,10783
1047,464330,Male,No,38,Yes,Low,2,0,2,Private company,Unknown,No,City,Never,7000
1048,466323,Male,No,28,No,Low,1,1,3,Government,No involvement,Yes,City,Never,12044
1049,459788,Female,No,36,Yes,Low,1,0,4,Private company,Strong involvement,Yes,City,Never,7000
1050,466668,Female,Yes,49,Yes,Low,1,1,5,Private company,No involvement,Yes,City,Never,7000
1051,464058,Male,Yes,86,Yes,Low,1,0,9,Private company,Some involvement,No,City,Never,7000
1052,459699,Female,,61,Yes,Average,3,1,3,Private company,No involvement,No,City,Never,18349
1053,462980,Male,No,28,Yes,Low,5,1,1,Private company,Strong involvement,No,City,Never,8261
1054,463565,Female,No,33,Yes,Low,4,0,1,Private company,Strong involvement,No,City,Never,8261
1055,467361,Female,Yes,26,No,Low,4,0,1,Nothing,No involvement,No,City,Never,7000
1056,459970,Male,No,40,Yes,Low,2,0,2,Private company,Unknown,No,City,Never,8261
1057,465100,Male,Yes,56,Yes,High,2,1,3,Private company,Unknown,No,City,Never,8261
1058,462962,Female,Yes,37,Yes,Low,1,0,4,Private company,Unknown,Yes,City,Never,12044
1059,463724,Male,No,29,No,Low,5,1,1,Private company,Some involvement,Yes,Country-side,Never,7000
1060,461658,Female,Yes,62,Yes,Average,2,1,4,Private company,Unknown,Yes,City,Intervention in Libya,7000
1061,459033,Female,Yes,56,Yes,Low,1,1,6,Private company,Unknown,No,City,Never,7000
1062,462607,Female,,37,No,Average,3,0,2,Private company,No involvement,Yes,Country-side,Never,9522
1063,462294,Male,Yes,30,No,Average,4,0,1,Private company,Some involvement,No,City,Never,8261
1064,467431,Male,Yes,40,Yes,Average,3,1,2,Private company,Unknown,No,City,Never,18349
1065,466289,Male,No,19,No,Low,5,0,1,Private company,Some involvement,Yes,City,Never,9522
1066,467445,Male,Yes,31,No,Low,2,0,2,Government,No involvement,Yes,City,Never,17088
1067,464293,Male,No,30,Yes,Low,4,1,1,Private company,Some involvement,No,City,Never,8261
1068,466577,Male,No,30,Yes,Low,1,0,3,Private company,Some involvement,No,City,Never,8261
1069,462756,Female,No,23,No,Low,4,1,1,Private company,No involvement,No,City,Never,8261
1070,464559,Female,No,35,Yes,Low,1,0,4,Private company,Some involvement,No,City,Never,18349
1071,464212,Female,Yes,56,Yes,Average,2,1,3,Student,No involvement,No,City,Never,7000
1072,464411,Male,No,30,Yes,Low,6,0,1,Private company,Some involvement,Yes,City,Intervention in Iraq,10783
1073,464240,Male,Yes,52,No,Low,1,0,6,Private company,No involvement,Yes,City,Never,7000
1074,463553,Male,No,27,Yes,Low,2,1,2,Private company,Unknown,No,City,Never,18349
1075,459967,Male,No,27,Yes,Low,3,1,1,Private company,Strong involvement,No,City,Never,18349
1076,463746,Male,No,38,Yes,Low,1,0,4,Private company,Unknown,No,City,Never,7000
1077,465702,Male,No,32,Yes,Low,1,0,4,Private company,Strong involvement,Yes,Country-side,Never,8261
1078,459796,Male,Yes,66,Yes,Average,3,1,3,Private company,Unknown,No,City,Never,7000
1079,462935,Male,Yes,79,No,Low,1,0,8,Private company,Strong involvement,,,,8261
1080,462323,Female,Yes,70,Yes,Average,2,1,4,Government,No involvement,No,City,Never,7000
1081,465513,Male,No,43,Yes,Low,2,1,3,Private company,Strong involvement,No,City,Never,8261
1082,461881,Male,No,40,Yes,Low,1,0,4,Private company,Unknown,No,City,Never,8261
1083,466207,Female,Yes,37,Yes,Average,4,1,1,Government,No involvement,Yes,City,Never,18349
1084,461124,Male,No,19,No,Low,8,0,1,Private company,Some involvement,Yes,Country-side,Never,8261
1085,466393,Female,Yes,42,No,Low,6,1,1,Private company,Strong involvement,Yes,City,Never,8261
1086,462199,Female,No,33,No,Low,3,0,2,Private company,Some involvement,,,,17088
1087,459537,Female,No,47,Yes,Low,3,0,2,Nothing,No involvement,Yes,Country-side,Never,18349
1088,463484,Female,Yes,35,No,High,2,0,2,Private company,No involvement,,,,8261
1089,459723,Male,Yes,49,Yes,Average,2,1,3,Private company,Unknown,No,City,Never,14566
1090,465456,Female,Yes,59,Yes,High,5,1,2,Private company,Unknown,Yes,City,Intervention in Syria,10783
1091,460634,Female,No,39,No,Low,6,0,1,Private company,Strong involvement,Yes,City,Never,7000
1092,461319,Male,Yes,56,No,Average,2,1,3,Private company,Unknown,No,City,Never,7000
1093,464106,Male,Yes,55,Yes,Low,2,0,3,Private company,Strong involvement,No,City,Never,8261
1094,460191,Female,No,33,No,Low,4,0,1,Private company,Some involvement,No,City,Never,17088
1095,466578,Male,No,45,No,Low,1,1,5,Private company,Unknown,No,City,Never,9522
1096,463237,Male,No,20,No,Low,5,0,1,Private company,Some involvement,No,City,Never,8261
1097,465566,Male,No,50,Yes,Low,3,1,2,Private company,Unknown,Yes,City,Never,8261
1098,458997,Male,Yes,61,Yes,Average,2,1,4,Private company,Unknown,No,City,Never,8261
1099,465851,Female,Yes,50,No,High,2,0,3,Private company,Unknown,Yes,Country-side,Never,18349
1100,465640,Male,Yes,50,Yes,Average,2,1,3,Private company,Unknown,No,City,Never,15827
1101,466814,Male,No,18,No,Low,3,0,1,Private company,Some involvement,No,City,Never,7000
1102,466021,Male,No,87,No,Low,1,0,9,Self-employed,No involvement,No,City,Never,8261
1103,465990,Male,Yes,48,No,High,2,0,3,Public company,No involvement,Yes,City,Never,9522
1104,461638,Male,Yes,70,Yes,High,2,0,4,Private company,Strong involvement,No,City,Never,7000
1105,467399,Male,Yes,29,Yes,Low,3,0,1,Government,No involvement,No,City,Never,8261
1106,466106,Female,Yes,63,No,Average,5,1,2,Private company,Unknown,No,City,Never,7000
1107,459428,Female,No,43,No,Low,2,0,3,Student,No involvement,Yes,Country-side,Never,7000
1108,459487,Male,Yes,67,No,Low,,0,,Self-employed,No involvement,No,City,Never,7000
1109,462483,Male,Yes,63,Yes,Average,2,1,4,,,No,City,Never,8261
1110,461853,Male,No,20,No,Low,3,0,1,Private company,Some involvement,No,City,Never,14566
1111,463896,Female,No,25,No,Low,3,1,1,Nothing,No involvement,Yes,City,Never,7000
1112,467257,Male,No,22,No,Low,4,0,1,Private company,Some involvement,No,City,Never,19610
1113,467792,Male,No,21,No,Low,4,0,1,Private company,Some involvement,No,City,Never,7000
1114,460156,Male,No,32,Yes,Low,3,1,2,Private company,Some involvement,No,City,Never,8261
1115,462348,Female,Yes,73,Yes,High,2,1,4,Self-employed,No involvement,No,City,Never,8261
1116,465658,Male,Yes,71,Yes,Average,4,1,2,Private company,Unknown,No,City,Never,7000
1117,464757,Female,Yes,42,No,Average,5,0,1,Public company,No involvement,Yes,Country-side,Never,7000
1118,463005,Female,Yes,40,Yes,Average,2,1,2,Nothing,No involvement,Yes,Country-side,Never,19610
1119,464581,Female,No,25,No,Low,4,0,1,Government,No involvement,No,City,Never,7000
1120,464349,Male,Yes,66,Yes,Low,1,1,7,Private company,Unknown,No,City,Never,9522
1121,464256,Male,Yes,40,Yes,Low,2,1,2,Private company,Unknown,No,City,Never,7000
1122,459915,Female,No,29,Yes,Low,3,0,1,Private company,Some involvement,Yes,Country-side,Never,8261
1123,467656,Male,No,31,Yes,Low,5,0,1,Private company,Some involvement,No,City,Never,8261
1124,461885,Female,Yes,49,Yes,High,5,1,1,Private company,Unknown,No,City,Never,10783
1125,460735,Male,Yes,35,Yes,Average,4,0,1,Private company,No involvement,Yes,City,Never,8261
1126,459380,Male,Yes,62,Yes,Low,1,0,7,Private company,Unknown,No,City,Never,8261
1127,463901,Male,Yes,35,No,Low,6,1,1,Private company,Unknown,Yes,Country-side,Never,7000
1128,466434,Male,Yes,53,Yes,Average,4,1,2,Private company,Unknown,No,City,Never,7000
1129,467890,Male,Yes,62,Yes,Average,4,1,2,Private company,Strong involvement,No,City,Never,7000
1130,459922,Male,Yes,65,Yes,Low,1,0,7,Self-employed,No involvement,Yes,Country-side,Never,7000
1131,463109,Male,Yes,61,Yes,High,2,1,4,Public company,No involvement,No,City,Never,18349
1132,464955,Female,Yes,38,No,Average,6,1,1,Private company,No involvement,Yes,Country-side,Never,8261
1133,465095,Male,Yes,48,Yes,High,4,1,2,Public company,No involvement,No,City,Never,8261
1134,465434,Female,No,26,Yes,Low,7,1,1,Private company,Some involvement,Yes,City,Never,8261
1135,465096,Male,Yes,86,No,Low,1,0,9,Self-employed,No involvement,No,City,Never,23393
1136,466392,Female,Yes,45,Yes,Average,,1,,Private company,No involvement,Yes,City,Never,10783
1137,461794,Female,No,19,No,Low,5,0,1,Private company,Some involvement,Yes,City,Never,13305
1138,467236,Female,No,40,Yes,Low,1,1,4,Self-employed,No involvement,No,City,Never,12044
1139,462359,Male,Yes,51,Yes,Low,3,0,2,Private company,Strong involvement,,,,7000
1140,463532,Female,Yes,67,Yes,Low,3,1,3,Private company,Unknown,No,City,Never,18349
1141,464689,Female,No,25,Yes,Low,,0,,Student,No involvement,Yes,Country-side,Never,9522
1142,467489,Male,No,30,Yes,Low,1,0,3,Private company,Some involvement,No,City,Never,7000
1143,462537,Male,No,78,Yes,Low,1,1,8,Private company,Strong involvement,No,City,Never,7000
1144,464475,Male,No,25,Yes,Low,4,1,1,Private company,Some involvement,No,City,Never,7000
1145,467865,Female,No,35,Yes,Low,1,0,4,Private company,Unknown,Yes,Country-side,Never,10783
1146,465364,Female,No,38,Yes,Low,5,0,1,Government,No involvement,Yes,City,Never,13305
1147,463941,Female,No,32,No,Low,6,0,1,Private company,Unknown,Yes,Country-side,Never,8261
1148,461279,Male,No,18,No,Low,2,0,1,Government,No involvement,No,City,Never,12044
1149,462503,Male,Yes,52,Yes,High,4,1,2,Public company,No involvement,No,City,Never,7000
1150,460703,Female,Yes,30,Yes,Average,5,0,1,Private company,No involvement,Yes,Country-side,Never,17088
1151,465518,Female,Yes,43,Yes,Average,3,1,2,Private company,Unknown,Yes,Country-side,Never,8261
1152,464288,Female,No,33,Yes,Low,2,0,2,Government,No involvement,No,City,Never,18349
1153,466524,Female,Yes,46,Yes,Low,1,1,5,Private company,Unknown,Yes,City,Never,7000
1154,463102,Male,No,41,No,Low,2,0,3,Private company,Strong involvement,No,City,Never,7000
1155,463404,Male,Yes,29,No,High,2,1,2,Government,No involvement,Yes,City,Never,7000
1156,459951,Male,Yes,53,Yes,Low,1,0,6,Private company,Unknown,No,City,Never,7000
1157,461914,Female,Yes,55,Yes,Low,,1,,Private company,Unknown,No,City,Never,14566
1158,459918,Female,No,43,Yes,Low,1,1,5,Private company,Unknown,Yes,City,Never,8261
1159,459743,Female,Yes,50,Yes,Average,4,0,2,Private company,Unknown,No,City,Never,18349
1160,462643,Female,Yes,38,Yes,Average,3,0,2,Private company,No involvement,Yes,Country-side,Never,7000
1161,461834,Female,No,42,Yes,Low,2,1,3,Private company,Unknown,No,City,Never,15827
1162,467532,Male,Yes,53,Yes,Low,1,0,6,Private company,Unknown,No,City,Never,17088
1163,466247,Female,,51,Yes,Low,4,1,2,Private company,Unknown,Yes,City,Never,7000
1164,460418,Female,No,35,Yes,Low,2,0,2,Private company,Strong involvement,No,City,Never,18349
1165,467780,Male,Yes,47,Yes,Low,3,0,2,Private company,Unknown,No,City,Never,7000
1166,460367,Male,Yes,73,Yes,Low,2,1,4,Private company,Unknown,No,City,Never,8261
1167,462261,Male,Yes,60,No,Average,3,1,2,Private company,No involvement,No,City,Never,7000
1168,467075,Female,Yes,31,No,Average,2,0,2,Nothing,No involvement,No,City,Never,18349
1169,464954,Male,No,23,No,Low,4,0,1,Private company,Some involvement,Yes,Country-side,Never,8261
1170,467238,Female,No,31,No,Low,4,0,1,Government,No involvement,No,City,Never,14566
1171,463112,Male,Yes,70,Yes,Low,1,0,7,Self-employed,No involvement,Yes,City,Never,7000
1172,460612,Male,No,33,Yes,Low,4,1,1,Private company,Strong involvement,Yes,City,Never,18349
1173,460913,Male,,22,No,Low,5,0,1,Private company,Some involvement,Yes,Country-side,Never,8261
1174,462442,Male,No,19,No,Low,4,0,1,Private company,Some involvement,No,City,Never,7000
1175,466278,Female,No,31,No,Low,2,0,2,,,Yes,City,Never,7000
1176,459013,Male,Yes,47,Yes,Average,4,1,2,Private company,Unknown,No,City,Never,10783
1177,465393,Male,Yes,36,Yes,Average,2,1,2,Private company,Unknown,No,City,Never,15827
1178,464607,Female,Yes,49,Yes,Average,4,1,2,Private company,Unknown,Yes,City,Never,7000
1179,467892,Male,No,23,No,Low,5,0,1,Government,No involvement,No,City,Never,8261
1180,462155,Female,Yes,57,Yes,High,3,1,2,Private company,Unknown,No,City,Never,7000
1181,464287,Male,Yes,35,Yes,Average,3,1,2,Private company,Unknown,Yes,City,Never,7000
1182,465551,Female,Yes,48,Yes,Average,2,1,3,Private company,Unknown,Yes,City,Never,7000
1183,461156,Male,No,22,No,Low,6,0,1,Student,No involvement,Yes,City,Never,10783
1184,462770,Male,No,18,No,Low,3,0,1,Private company,Some involvement,No,City,Never,7000
1185,462920,Male,Yes,50,No,High,5,1,1,Public company,No involvement,No,City,Never,7000
1186,461131,Male,Yes,68,Yes,High,,0,,Private company,Unknown,No,City,Never,7000
1187,461114,Male,Yes,45,Yes,Average,4,1,2,Private company,Unknown,Yes,City,Never,8261
1188,463437,Male,Yes,49,Yes,Average,3,1,2,Private company,Unknown,No,City,Never,8261
1189,463915,Female,No,21,Yes,Low,5,0,1,Private company,Some involvement,Yes,City,Never,7000
1190,459443,Female,Yes,50,Yes,Average,2,1,3,Private company,Unknown,No,City,Never,17088
1191,460636,Male,Yes,45,Yes,Average,3,0,2,Private company,Unknown,Yes,City,Never,9522
1192,466067,Male,Yes,69,Yes,Average,5,1,2,Private company,Unknown,Yes,City,Never,7000
1193,465834,Male,No,48,Yes,Low,3,0,2,Private company,Strong involvement,Yes,City,Never,7000
1194,463864,Male,Yes,81,No,High,2,1,5,Public company,No involvement,No,City,Never,7000
1195,462672,Male,No,25,No,Low,4,0,1,Private company,Some involvement,Yes,Country-side,Never,15827
1196,463728,Female,Yes,30,No,Average,6,1,1,Government,No involvement,No,City,Never,8261
1197,467208,Female,Yes,39,Yes,High,2,0,2,Nothing,No involvement,No,City,Never,7000
1198,462485,Female,Yes,37,No,Low,2,0,2,Private company,No involvement,No,City,Never,7000
1199,463579,Male,Yes,45,Yes,Average,2,1,3,Private company,Unknown,No,City,Never,7000
1200,459245,Female,Yes,38,No,Average,4,1,1,Private company,No involvement,No,City,Never,7000
1201,459690,Female,No,43,Yes,Low,1,0,5,Private company,Unknown,No,City,Never,8261
1202,459411,Male,Yes,74,No,Low,1,0,8,Self-employed,No involvement,No,City,Never,17088
1203,461831,Male,No,30,Yes,Low,3,1,1,Government,No involvement,No,City,Never,7000
1204,463612,Female,Yes,51,Yes,High,3,1,2,Private company,No involvement,No,City,Never,8261
1205,460630,Male,Yes,18,No,Average,,0,,Public company,No involvement,Yes,City,Never,7000
1206,462480,Male,No,40,No,Low,4,0,1,Private company,No involvement,No,City,Never,9522
1207,464879,Female,Yes,28,Yes,Average,2,0,2,Government,No involvement,Yes,Country-side,Never,8261
1208,466548,Female,Yes,45,Yes,Average,2,1,3,Private company,Unknown,No,City,Never,8261
1209,467714,Male,Yes,89,Yes,Low,1,0,9,Self-employed,No involvement,No,City,Never,23393
1210,467249,Female,No,43,Yes,Low,1,0,5,Student,No involvement,No,City,Never,8261
1211,462562,Female,No,25,Yes,Low,6,1,1,Private company,Strong involvement,Yes,City,Never,7000
1212,466813,Male,Yes,59,Yes,Low,,0,,Private company,Unknown,No,City,Never,8261
1213,467758,Female,Yes,50,Yes,Low,,1,,Government,No involvement,No,City,Never,8261
1214,461359,Male,Yes,28,Yes,Low,4,0,1,Private company,Some involvement,Yes,City,Intervention in Iraq,8261
1215,463377,Female,Yes,32,Yes,High,2,1,2,Nothing,No involvement,Yes,City,Never,12044
1216,465801,Male,,37,Yes,Low,6,1,1,Government,No involvement,No,City,Never,17088
1217,463308,Male,Yes,53,Yes,Low,2,0,3,Private company,No involvement,Yes,City,Never,8261
1218,460877,Female,Yes,47,No,Average,5,1,1,Private company,Unknown,No,City,Never,7000
1219,466222,Male,Yes,51,No,Low,3,1,2,Public company,No involvement,Yes,City,Never,13305
1220,461827,Male,Yes,57,Yes,Low,1,1,6,Private company,Unknown,No,City,Never,7000
1221,463493,Male,Yes,42,Yes,High,4,1,2,Public company,No involvement,No,City,Never,7000
1222,466607,Male,No,18,No,Low,2,0,1,Student,No involvement,Yes,City,Never,9522
1223,466244,Female,No,30,No,Low,3,1,1,Private company,Some involvement,Yes,Country-side,Never,10783
1224,460865,Male,No,18,No,Low,3,0,1,Private company,Some involvement,Yes,Country-side,Never,8261
1225,461974,Female,Yes,47,Yes,Low,1,0,5,Private company,Unknown,No,City,Never,7000
1226,464336,Male,Yes,65,Yes,High,4,1,2,Public company,No involvement,No,City,Never,7000
1227,461623,Female,Yes,41,Yes,Average,2,1,3,Private company,Unknown,No,City,Never,20871
1228,460180,Female,Yes,27,Yes,Average,2,0,2,Student,No involvement,No,City,Never,20871
1229,466114,Male,Yes,52,Yes,Average,5,1,2,Private company,Strong involvement,No,City,Never,8261
1230,467390,Male,Yes,46,Yes,Low,2,1,3,Private company,Unknown,No,City,Never,7000
1231,465620,Male,No,37,Yes,Low,3,1,2,Private company,Unknown,No,City,Never,17088
1232,465760,Female,No,43,Yes,Low,2,0,3,Private company,No involvement,Yes,Country-side,Never,17088
1233,459007,Female,Yes,42,Yes,Average,3,1,2,Private company,Unknown,No,City,Never,8261
1234,464939,Male,No,43,No,Low,1,0,5,Private company,Strong involvement,Yes,Country-side,Never,7000
1235,464127,Female,No,33,Yes,Low,5,1,1,Private company,Some involvement,Yes,City,Never,8261
1236,462166,Male,Yes,26,Yes,Low,2,1,2,Private company,Unknown,Yes,City,Intervention in Syria,7000
1237,460185,Male,No,25,No,Low,3,0,1,Private company,Some involvement,No,City,Never,18349
1238,459455,Female,Yes,79,Yes,Low,1,0,8,Self-employed,No involvement,No,City,Never,8261
1239,464341,Male,No,35,Yes,Low,2,0,2,Private company,Unknown,No,City,Never,9522
1240,460265,Male,Yes,52,Yes,High,4,1,2,Public company,No involvement,No,City,Never,8261
1241,466798,Male,No,23,No,Low,5,0,1,Private company,Some involvement,No,City,Never,12044
1242,460961,Male,No,20,No,Low,2,0,1,Private company,Some involvement,Yes,City,Never,8261
1243,466984,Female,No,43,Yes,Low,,0,,Nothing,No involvement,No,City,Never,18349
1244,467498,Male,Yes,56,Yes,Low,3,0,2,Self-employed,No involvement,Yes,City,Intervention in Syria,7000
1245,459818,Female,Yes,68,No,Low,1,0,7,Self-employed,No involvement,No,City,Never,8261
1246,461532,Male,Yes,48,Yes,Low,1,0,5,Private company,Strong involvement,No,City,Never,8261
1247,463319,Female,Yes,73,No,High,3,1,3,Self-employed,No involvement,No,City,Never,8261
1248,461563,Female,Yes,60,Yes,High,2,1,3,Private company,Unknown,No,City,Never,8261
1249,461162,Female,No,41,No,Low,3,1,2,Student,No involvement,Yes,City,Never,18349
1250,465749,Male,Yes,42,No,Average,3,1,2,Private company,No involvement,No,City,Never,8261
1251,459759,Female,Yes,38,Yes,Average,3,1,2,Private company,Unknown,No,City,Never,7000
1252,463753,Female,No,30,Yes,Low,5,0,1,Private company,Some involvement,Yes,City,Never,7000
1253,466098,Male,Yes,78,Yes,High,2,0,4,Self-employed,No involvement,No,City,Never,8261
1254,459521,Female,Yes,46,Yes,Average,4,0,2,Private company,Unknown,Yes,City,Intervention in Syria,7000
1255,459587,Female,No,32,Yes,Low,3,0,2,Private company,Unknown,No,City,Never,15827
1256,463543,Male,No,18,No,Low,4,0,1,Private company,Some involvement,No,City,Never,8261
1257,463063,Female,No,25,No,Low,7,1,1,Student,No involvement,Yes,City,Never,7000
1258,464924,Male,Yes,26,No,High,6,0,1,Private company,Strong involvement,Yes,Country-side,Never,7000
1259,460615,Female,No,25,Yes,Low,,1,,Private company,Some involvement,Yes,City,Never,7000
1260,460563,Female,No,41,No,Low,2,1,3,Private company,Some involvement,Yes,City,Intervention in Syria,8261
1261,467781,Male,Yes,27,Yes,High,2,0,2,Private company,Some involvement,No,City,Never,8261
1262,465859,Male,No,47,Yes,Low,1,0,5,Private company,Unknown,No,City,Never,7000
1263,466360,Male,No,25,No,Low,3,1,1,Private company,Some involvement,Yes,Country-side,Never,7000
1264,463912,Female,Yes,36,No,Average,4,1,1,Private company,Unknown,Yes,Country-side,Never,8261
1265,466803,Female,,41,Yes,Low,2,0,3,Student,No involvement,No,City,Never,7000
1266,461047,Female,,18,No,Average,3,0,1,Private company,Some involvement,Yes,City,Intervention in Iraq,8261
1267,464700,Male,No,25,No,Low,,0,,Government,No involvement,Yes,Country-side,Never,9522
1268,466208,Male,Yes,67,No,High,1,1,7,Public company,No involvement,No,City,Never,9522
1269,466232,Male,Yes,59,No,High,3,1,2,Public company,No involvement,No,City,Never,7000
1270,459568,Male,No,41,Yes,Low,3,1,2,Private company,Unknown,No,City,Never,7000
1271,461919,Male,No,38,Yes,Low,3,0,2,Government,No involvement,No,City,Never,7000
1272,465839,Male,No,19,No,Low,4,0,1,Private company,Some involvement,No,City,Never,7000
1273,462300,Male,Yes,50,Yes,Average,3,1,2,Private company,Unknown,No,City,Never,8261
1274,462764,Male,No,18,No,Low,4,0,1,Private company,Some involvement,No,City,Never,7000
1275,463732,Male,No,21,No,Low,4,0,1,Private company,Some involvement,No,City,Never,7000
1276,459762,Female,Yes,45,Yes,Average,2,1,3,Private company,Unknown,,,,17088
1277,466319,Female,,29,No,Low,4,1,1,Private company,Some involvement,No,City,Never,8261
1278,465264,Male,Yes,88,No,Low,1,0,9,Public company,No involvement,No,City,Never,7000
1279,462372,Female,Yes,65,No,High,2,0,4,Self-employed,No involvement,No,City,Never,7000
1280,462928,Male,Yes,49,Yes,Average,4,1,2,Private company,Unknown,Yes,City,Never,9522
1281,461884,Female,Yes,40,Yes,Low,2,1,2,Private company,Unknown,No,City,Never,7000
1282,462710,Female,No,28,Yes,Low,3,0,1,Student,No involvement,No,City,Never,9522
1283,460049,Male,Yes,43,Yes,Average,2,0,3,Private company,Strong involvement,Yes,City,Intervention in Libya,7000
1284,466916,Male,Yes,87,Yes,Low,1,1,9,Self-employed,No involvement,No,City,Never,10783
1285,465269,Female,Yes,45,Yes,Average,3,1,2,Private company,Unknown,Yes,City,Never,8261
1286,463598,Female,Yes,32,No,Low,2,1,2,Private company,No involvement,No,City,Never,10783
1287,464041,Female,No,26,Yes,Low,3,0,1,Private company,No involvement,No,City,Never,8261
1288,460370,Female,Yes,28,Yes,High,2,1,2,Public company,No involvement,No,City,Never,17088
1289,462375,Male,Yes,53,Yes,Average,3,1,2,Private company,Unknown,No,City,Never,8261
1290,467424,Male,Yes,56,Yes,Average,2,0,3,Private company,Strong involvement,No,City,Never,9522
1291,460259,Male,No,21,No,Low,4,0,1,Private company,Some involvement,Yes,City,Never,8261
1292,463833,Female,No,25,No,Low,4,0,1,Government,No involvement,Yes,Country-side,Never,7000
